0.000000	1.801400
-0.200000	1.611818
-0.400000	1.442106
-0.600000	1.305521
-0.800000	1.218251
-1.000000	1.200072
-1.200000	1.275136
-1.400000	1.472943
-1.600000	1.829525
-1.800000	2.388889
-2.000000	3.204789
-2.200000	4.342878
-2.400000	5.883343
-2.600000	7.924127
-2.800000	10.584857
-3.000000	14.011644
-3.200000	18.382950
-3.400000	23.916747
-3.600000	30.879267
-3.800000	39.595684
-4.000000	50.463169
-4.200000	63.966822
-4.400000	80.699149
-4.600000	101.383832
-4.800000	126.904781
